# Joint_A_Angle(deg), Cam_X(mm), Cam_Y(mm), Cam_Z(mm), Torso_X(mm), Torso_Y(mm), Torso_Z(mm), EE_X(mm), EE_Y(mm), EE_Z(mm)
5.4428, 12.2163, -21.4028, 169.6951, 238.6950, -3.2163, 278.4762, -20.4671, -53.1879, -70.7961
5.5178, 12.1974, -21.2846, 169.7922, 238.7922, -3.1974, 278.3580, -20.4151, -53.0744, -70.7499
5.6072, 12.0759, -21.2205, 169.5923, 238.5924, -3.0759, 278.2939, -20.4103, -53.2592, -70.7936
5.6922, 11.9865, -21.1531, 169.4383, 238.4383, -2.9865, 278.2265, -20.4103, -53.3958, -70.8134
5.7819, 11.9520, -21.0419, 169.5646, 238.5646, -2.9520, 278.1154, -20.3634, -53.2502, -70.7865
5.8693, 11.8612, -20.9692, 169.4582, 238.4582, -2.8612, 278.0426, -20.3526, -53.3401, -70.8082
5.9572, 11.7471, -20.8538, 169.3124, 238.3124, -2.7471, 277.9272, -20.3022, -53.4766, -70.8199
6.0473, 11.6925, -20.8034, 169.2736, 238.2736, -2.6925, 277.8768, -20.3214, -53.4912, -70.8316
6.1403, 11.6435, -20.7192, 169.3088, 238.3088, -2.6435, 277.7926, -20.3065, -53.4344, -70.8249
6.2205, 11.5512, -20.6236, 169.2271, 238.2271, -2.5512, 277.6970, -20.2665, -53.5062, -70.8362
6.2980, 11.4863, -20.5901, 169.0936, 238.0936, -2.4863, 277.6636, -20.2991, -53.6193, -70.8583
6.3826, 11.4058, -20.4901, 169.0764, 238.0764, -2.4058, 277.5636, -20.2554, -53.6248, -70.8629
6.4817, 11.3530, -20.3855, 169.1121, 238.1121, -2.3530, 277.4590, -20.2278, -53.5684, -70.8472
6.5729, 11.2293, -20.2717, 168.9651, 237.9651, -2.2293, 277.3452, -20.1785, -53.7078, -70.8675
6.6742, 11.1638, -20.1742, 168.9461, 237.9461, -2.1638, 277.2477, -20.1617, -53.7061, -70.8616
6.7702, 11.1284, -20.1017, 168.9639, 237.9638, -2.1284, 277.1752, -20.1703, -53.6628, -70.8496
6.8647, 11.0147, -19.9813, 168.8460, 237.8460, -2.0147, 277.0548, -20.1201, -53.7719, -70.8605
6.9695, 10.9229, -19.8969, 168.7321, 237.7321, -1.9229, 276.9704, -20.1205, -53.8656, -70.8758
7.0688, 10.9061, -19.8122, 168.7862, 237.7862, -1.9061, 276.8857, -20.1263, -53.7838, -70.8448
7.1609, 10.7897, -19.6952, 168.7887, 237.7887, -1.7897, 276.7687, -20.0523, -53.7773, -70.8696
7.2497, 10.6416, -19.5893, 168.5746, 237.5746, -1.6416, 276.6628, -20.0088, -53.9887, -70.9085
7.3402, 10.6322, -19.5049, 168.6008, 237.6008, -1.6322, 276.5784, -20.0165, -53.9371, -70.8693
7.4309, 10.5366, -19.3884, 168.5798, 237.5798, -1.5366, 276.4619, -19.9587, -53.9511, -70.8759
7.5094, 10.4496, -19.2785, 168.5322, 237.5322, -1.4496, 276.3520, -19.9050, -53.9941, -70.8771
7.5876, 10.3815, -19.2681, 168.3269, 237.3269, -1.3815, 276.3415, -19.9732, -54.1763, -70.9098
7.6779, 10.3586, -19.1690, 168.4319, 237.4319, -1.3586, 276.2424, -19.9452, -54.0526, -70.8790
7.7761, 10.2598, -19.0507, 168.4268, 237.4268, -1.2598, 276.1241, -19.8885, -54.0499, -70.8885
7.8763, 10.1310, -18.9626, 168.1990, 237.1990, -1.1310, 276.0360, -19.8869, -54.2657, -70.9218
7.9774, 10.0879, -18.9004, 168.2154, 237.2154, -1.0879, 275.9739, -19.9052, -54.2241, -70.9222
8.0594, 9.9908, -18.7627, 168.2042, 237.2042, -0.9908, 275.8361, -19.8204, -54.2368, -70.9179
8.1604, 9.9073, -18.6703, 168.0827, 237.0827, -0.9073, 275.7437, -19.8211, -54.3413, -70.9212
8.2597, 9.8658, -18.6373, 168.0186, 237.0186, -0.8658, 275.7107, -19.8791, -54.3752, -70.9311
8.3547, 9.8048, -18.5183, 168.0406, 237.0406, -0.8048, 275.5917, -19.8353, -54.3418, -70.9122
8.4340, 9.6520, -18.3580, 167.8944, 236.8944, -0.6520, 275.4315, -19.7283, -54.5018, -70.9279
8.5267, 9.5898, -18.3144, 167.8444, 236.8444, -0.5898, 275.3878, -19.7575, -54.5305, -70.9490
8.6168, 9.5566, -18.2531, 167.8262, 236.8263, -0.5566, 275.3266, -19.7798, -54.5259, -70.9391
8.7069, 9.4714, -18.1271, 167.8151, 236.8151, -0.4714, 275.2005, -19.7197, -54.5333, -70.9324
8.7935, 9.3332, -18.0430, 167.6294, 236.6294, -0.3332, 275.1164, -19.6985, -54.7170, -70.9789
8.8809, 9.3387, -18.0104, 167.7342, 236.7342, -0.3387, 275.0839, -19.7358, -54.5830, -70.9651
8.9714, 9.2637, -17.8856, 167.7267, 236.7267, -0.2637, 274.9590, -19.6822, -54.5853, -70.9514
9.0532, 9.1429, -17.8018, 167.5760, 236.5760, -0.1429, 274.8752, -19.6597, -54.7340, -70.9870
9.1422, 9.0589, -17.6914, 167.5001, 236.5001, -0.0589, 274.7648, -19.6272, -54.8036, -70.9835
9.2393, 9.0130, -17.6144, 167.5643, 236.5643, -0.0130, 274.6878, -19.6182, -54.7220, -70.9810
9.3184, 8.9044, -17.5138, 167.4944, 236.4944, 0.0956, 274.5872, -19.5691, -54.7939, -71.0033
9.4010, 8.8230, -17.4349, 167.3221, 236.3221, 0.1770, 274.5084, -19.5800, -54.9551, -71.0087
9.4761, 8.7913, -17.3324, 167.3821, 236.3821, 0.2087, 274.4059, -19.5389, -54.8877, -70.9790
9.5676, 8.7318, -17.2549, 167.4333, 236.4334, 0.2682, 274.3284, -19.5195, -54.8246, -70.9859
9.6671, 8.6590, -17.1395, 167.3994, 236.3993, 0.3410, 274.2129, -19.4905, -54.8491, -70.9740
9.7563, 8.5720, -17.0421, 167.2778, 236.2778, 0.4280, 274.1156, -19.4791, -54.9630, -70.9771
9.8457, 8.5122, -16.9475, 167.2711, 236.2712, 0.4877, 274.0210, -19.4580, -54.9598, -70.9693
9.9369, 8.4089, -16.8721, 167.0988, 236.0988, 0.5911, 273.9455, -19.4696, -55.1226, -70.9944
10.0378, 8.3668, -16.8095, 167.1412, 236.1412, 0.6332, 273.8829, -19.4831, -55.0593, -70.9958
10.1366, 8.2967, -16.6906, 167.1437, 236.1437, 0.7033, 273.7640, -19.4441, -55.0498, -70.9828
10.2252, 8.1960, -16.5901, 167.0217, 236.0216, 0.8040, 273.6635, -19.4236, -55.1687, -70.9948
10.3206, 8.1241, -16.5412, 167.0018, 236.0018, 0.8759, 273.6147, -19.4413, -55.1724, -71.0231
10.4005, 8.0478, -16.4117, 167.0153, 236.0153, 0.9522, 273.4852, -19.3700, -55.1636, -71.0092
10.4737, 7.9515, -16.3219, 166.9063, 235.9063, 1.0485, 273.3953, -19.3430, -55.2741, -71.0249
10.5495, 7.8967, -16.2513, 166.8504, 235.8504, 1.1033, 273.3247, -19.3439, -55.3205, -71.0233
10.6403, 7.8700, -16.2027, 166.8694, 235.8694, 1.1300, 273.2761, -19.3734, -55.2793, -71.0187
10.7145, 7.7699, -16.0943, 166.8418, 235.8418, 1.2301, 273.1677, -19.3106, -55.3151, -71.0330
10.7945, 7.6744, -16.0130, 166.7193, 235.7193, 1.3256, 273.0865, -19.3019, -55.4349, -71.0522
10.8727, 7.6257, -15.9134, 166.7049, 235.7049, 1.3743, 272.9869, -19.2757, -55.4443, -71.0318
10.9595, 7.5791, -15.8298, 166.7395, 235.7395, 1.4209, 272.9033, -19.2588, -55.4002, -71.0234
11.0549, 7.4904, -15.7334, 166.6698, 235.6698, 1.5096, 272.8068, -19.2437, -55.4646, -71.0327
11.1342, 7.4048, -15.6433, 166.5298, 235.5298, 1.5952, 272.7167, -19.2387, -55.6013, -71.0374
11.2129, 7.3400, -15.5548, 166.6008, 235.6007, 1.6600, 272.6282, -19.1904, -55.5309, -71.0434
11.2955, 7.3031, -15.4909, 166.6099, 235.6099, 1.6969, 272.5643, -19.1972, -55.5081, -71.0369
11.3777, 7.2087, -15.4066, 166.4854, 235.4854, 1.7913, 272.4801, -19.1912, -55.6303, -71.0534
11.4691, 7.1176, -15.3178, 166.4056, 235.4056, 1.8824, 272.3913, -19.1809, -55.7060, -71.0683
11.5572, 7.0708, -15.2326, 166.5105, 235.5105, 1.9292, 272.3061, -19.1451, -55.5954, -71.0648
11.6365, 6.9896, -15.1399, 166.4268, 235.4269, 2.0104, 272.2133, -19.1268, -55.6785, -71.0689
11.7114, 6.9082, -15.0799, 166.2285, 235.2285, 2.0918, 272.1533, -19.1614, -55.8677, -71.0834
11.7989, 6.8748, -15.0061, 166.4296, 235.4295, 2.1252, 272.0796, -19.1149, -55.6608, -71.0838
11.8738, 6.7750, -14.8804, 166.4154, 235.4154, 2.2250, 271.9539, -19.0375, -55.6895, -71.0886
11.9479, 6.7060, -14.8106, 166.3039, 235.3039, 2.2940, 271.8841, -19.0473, -55.7951, -71.0944
12.0254, 6.6334, -14.7597, 166.1306, 235.1306, 2.3666, 271.8332, -19.0909, -55.9560, -71.1094
12.1164, 6.6010, -14.6432, 166.2666, 235.2666, 2.3990, 271.7167, -19.0324, -55.8182, -71.0783
12.2034, 6.4984, -14.5259, 166.2302, 235.2302, 2.5016, 271.5993, -18.9786, -55.8635, -71.0888
12.2854, 6.4342, -14.4609, 166.0123, 235.0123, 2.5658, 271.5344, -19.0336, -56.0660, -71.0852
12.3750, 6.4238, -14.3901, 166.1544, 235.1544, 2.5762, 271.4635, -19.0197, -55.9103, -71.0642
12.4671, 6.3255, -14.2547, 166.1178, 235.1178, 2.6745, 271.3282, -18.9597, -55.9567, -71.0606
12.5497, 6.2187, -14.1902, 165.9421, 234.9421, 2.7813, 271.2637, -18.9812, -56.1288, -71.0947
