# Joint_A_Angle(deg), Cam_X(mm), Cam_Y(mm), Cam_Z(mm), Torso_X(mm), Torso_Y(mm), Torso_Z(mm), EE_X(mm), EE_Y(mm), EE_Z(mm)
1.9274, 13.3837, -11.1520, 162.4058, 231.4058, -4.3837, 268.2254, 12.9508, 63.5949, -69.5673
2.0740, 13.2215, -11.3686, 162.4211, 231.4211, -4.2215, 268.4421, 12.8437, 63.5809, -69.5733
2.2300, 13.1477, -11.4721, 162.5262, 231.5262, -4.1477, 268.5455, 12.8944, 63.4843, -69.5785
2.3862, 13.0301, -11.6391, 162.6366, 231.6366, -4.0301, 268.7125, 12.8673, 63.3807, -69.5925
2.5403, 12.9388, -11.8052, 162.6968, 231.6968, -3.9388, 268.8787, 12.8538, 63.3297, -69.6220
2.7196, 12.8060, -11.9583, 162.7689, 231.7689, -3.8060, 269.0318, 12.8509, 63.2655, -69.6102
2.8745, 12.6872, -12.1380, 162.8887, 231.8887, -3.6872, 269.2115, 12.8111, 63.1545, -69.6327
3.0226, 12.5444, -12.3331, 162.9720, 231.9720, -3.5444, 269.4065, 12.7351, 63.0786, -69.6449
3.1766, 12.4520, -12.4612, 163.0842, 232.0842, -3.4520, 269.5346, 12.7493, 62.9767, -69.6532
3.3216, 12.3280, -12.6432, 163.2125, 232.2125, -3.3280, 269.7167, 12.6920, 62.8581, -69.6751
3.4906, 12.2086, -12.7692, 163.3302, 232.3302, -3.2086, 269.8426, 12.7055, 62.7508, -69.6607
3.6497, 12.1099, -12.9524, 163.3704, 232.3704, -3.1099, 270.0258, 12.6765, 62.7244, -69.6939
3.8114, 11.9836, -13.1047, 163.4680, 232.4680, -2.9836, 270.1781, 12.6563, 62.6381, -69.6906
3.9593, 11.8764, -13.2913, 163.5532, 232.5532, -2.8764, 270.3647, 12.6070, 62.5668, -69.7245
4.1232, 11.7612, -13.4204, 163.6852, 232.6852, -2.7612, 270.4939, 12.6131, 62.4474, -69.7173
