# Joint_B_Angle(deg), Cam_X(mm), Cam_Y(mm), Cam_Z(mm), Torso_X(mm), Torso_Y(mm), Torso_Z(mm), EE_X(mm), EE_Y(mm), EE_Z(mm)
-2.8481, 19.5011, -29.2511, 173.0199, 242.0199, -10.5011, 286.3245, -23.1170, -52.2580, -69.8580
-2.7853, 19.4456, -29.2045, 173.0163, 242.0163, -10.4456, 286.2779, -23.1039, -52.2393, -69.8741
-2.7149, 19.3880, -29.1563, 173.0168, 242.0168, -10.3880, 286.2298, -23.0950, -52.2137, -69.8914
-2.6442, 19.3334, -29.0982, 172.9954, 241.9954, -10.3334, 286.1716, -23.0808, -52.2094, -69.8984
-2.5721, 19.2473, -29.0347, 173.0055, 242.0055, -10.2473, 286.1082, -23.0439, -52.1758, -69.9301
-2.4921, 19.1696, -28.9666, 173.0432, 242.0431, -10.1696, 286.0400, -23.0145, -52.1109, -69.9545
-2.4253, 19.1204, -28.9069, 173.0780, 242.0780, -10.1204, 285.9803, -22.9970, -52.0520, -69.9610
-2.3537, 19.0573, -28.8511, 173.0215, 242.0215, -10.0573, 285.9246, -22.9815, -52.0836, -69.9733
-2.2834, 18.9619, -28.7687, 172.9563, 241.9563, -9.9619, 285.8421, -22.9245, -52.1267, -69.9947
-2.2197, 18.8768, -28.7041, 172.9844, 241.9844, -9.8768, 285.7775, -22.8790, -52.0792, -70.0264
-2.1568, 18.8419, -28.6619, 173.0236, 242.0236, -9.8419, 285.7353, -22.8801, -52.0172, -70.0323
-2.0887, 18.7757, -28.6064, 173.0263, 242.0263, -9.7757, 285.6799, -22.8578, -51.9921, -70.0523
-2.0136, 18.6855, -28.5404, 173.0152, 242.0151, -9.6855, 285.6138, -22.8196, -51.9800, -70.0838
-1.9393, 18.5968, -28.4648, 172.9873, 241.9873, -9.5968, 285.5382, -22.7746, -51.9847, -70.1071
-1.8580, 18.5560, -28.4134, 173.0220, 242.0220, -9.5560, 285.4869, -22.7814, -51.9207, -70.1119
-1.7877, 18.4776, -28.3382, 173.0678, 242.0678, -9.4776, 285.4117, -22.7361, -51.8532, -70.1334
-1.7235, 18.3835, -28.2729, 173.0158, 242.0158, -9.3835, 285.3463, -22.6880, -51.8871, -70.1651
-1.6475, 18.3350, -28.2168, 172.9889, 241.9889, -9.3350, 285.2903, -22.6842, -51.8875, -70.1680
-1.5847, 18.2758, -28.1547, 173.0029, 242.0029, -9.2758, 285.2282, -22.6554, -51.8534, -70.1793
-1.5218, 18.1914, -28.0973, 173.0133, 242.0133, -9.1914, 285.1707, -22.6154, -51.8255, -70.2132
-1.4550, 18.1288, -28.0514, 173.0172, 242.0171, -9.1288, 285.1248, -22.6016, -51.8007, -70.2360
-1.3812, 18.0710, -27.9969, 173.0066, 242.0066, -9.0710, 285.0704, -22.5907, -51.7871, -70.2488
-1.3162, 18.0019, -27.9179, 173.0090, 242.0090, -9.0019, 284.9914, -22.5449, -51.7649, -70.2569
-1.2538, 17.9398, -27.8630, 173.0257, 242.0257, -8.9398, 284.9364, -22.5194, -51.7293, -70.2751
-1.1918, 17.8449, -27.8084, 173.0135, 242.0136, -8.8449, 284.8819, -22.4757, -51.7260, -70.3171
-1.1276, 17.8025, -27.7596, 173.0022, 242.0022, -8.8025, 284.8331, -22.4699, -51.7160, -70.3209
-1.0630, 17.7703, -27.6984, 173.0128, 242.0128, -8.7703, 284.7719, -22.4593, -51.6828, -70.3109
-0.9896, 17.7188, -27.6458, 173.0211, 242.0211, -8.7188, 284.7193, -22.4522, -51.6507, -70.3213
-0.9224, 17.5966, -27.5856, 173.0270, 242.0270, -8.5966, 284.6591, -22.3916, -51.6306, -70.3833
-0.8622, 17.5312, -27.5261, 172.9866, 241.9866, -8.5312, 284.5996, -22.3616, -51.6536, -70.3965
-0.8016, 17.4821, -27.4596, 172.9455, 241.9455, -8.4821, 284.5331, -22.3362, -51.6757, -70.3925
-0.7374, 17.4472, -27.4294, 172.9503, 241.9503, -8.4472, 284.5029, -22.3488, -51.6495, -70.4028
-0.6645, 17.3770, -27.3717, 172.9733, 241.9733, -8.3770, 284.4451, -22.3251, -51.6053, -70.4262
-0.5937, 17.2681, -27.2881, 173.0039, 242.0039, -8.2681, 284.3616, -22.2552, -51.5587, -70.4658
-0.5322, 17.2130, -27.2375, 173.0076, 242.0076, -8.2130, 284.3109, -22.2369, -51.5370, -70.4798
-0.4614, 17.1729, -27.1807, 172.9674, 241.9674, -8.1729, 284.2542, -22.2339, -51.5538, -70.4745
-0.3959, 17.1124, -27.1228, 172.9668, 241.9668, -8.1124, 284.1963, -22.2104, -51.5357, -70.4881
-0.3230, 17.0338, -27.0513, 172.9612, 241.9612, -8.0338, 284.1247, -22.1724, -51.5216, -70.5076
-0.2549, 16.9430, -26.9801, 172.9870, 241.9870, -7.9430, 284.0536, -22.1209, -51.4798, -70.5397
-0.1837, 16.8778, -26.9218, 172.9686, 241.9686, -7.8778, 283.9953, -22.1007, -51.4781, -70.5554
-0.1173, 16.8203, -26.8562, 172.9729, 241.9729, -7.8203, 283.9297, -22.0733, -51.4549, -70.5624
-0.0510, 16.7388, -26.7880, 172.9712, 241.9712, -7.7388, 283.8615, -22.0300, -51.4405, -70.5866
0.0141, 16.6835, -26.7304, 172.9798, 241.9798, -7.6835, 283.8038, -22.0087, -51.4136, -70.5970
0.0734, 16.6652, -26.6890, 173.0021, 242.0021, -7.6652, 283.7624, -22.0163, -51.3711, -70.5887
0.1424, 16.5843, -26.6383, 172.9931, 241.9932, -7.5843, 283.7118, -21.9902, -51.3631, -70.6223
0.2039, 16.4893, -26.5829, 172.9313, 241.9313, -7.4893, 283.6563, -21.9493, -51.4122, -70.6598
0.2747, 16.4457, -26.5161, 172.9378, 241.9378, -7.4457, 283.5896, -21.9329, -51.3844, -70.6552
0.3485, 16.3946, -26.4511, 172.9918, 241.9918, -7.3946, 283.5245, -21.9125, -51.3092, -70.6616
0.4131, 16.3059, -26.3882, 172.9828, 241.9828, -7.3059, 283.4617, -21.8681, -51.3046, -70.6942
0.4812, 16.2547, -26.3472, 172.9480, 241.9480, -7.2547, 283.4207, -21.8688, -51.3196, -70.7076
0.5511, 16.1580, -26.2505, 172.9179, 241.9179, -7.1580, 283.3239, -21.7990, -51.3357, -70.7244
0.6157, 16.1106, -26.2014, 172.9587, 241.9587, -7.1106, 283.2748, -21.7860, -51.2770, -70.7363
0.6877, 16.0565, -26.1530, 173.0047, 242.0047, -7.0565, 283.2264, -21.7758, -51.2111, -70.7544
0.7576, 15.9970, -26.1026, 172.9697, 241.9697, -6.9970, 283.1761, -21.7657, -51.2273, -70.7689
0.8301, 15.9092, -26.0178, 172.9795, 241.9795, -6.9092, 283.0912, -21.7097, -51.2023, -70.7891
0.8956, 15.8501, -25.9579, 172.9551, 241.9551, -6.8501, 283.0314, -21.6875, -51.2099, -70.7985
0.9620, 15.7865, -25.9112, 173.0006, 242.0006, -6.7865, 282.9846, -21.6676, -51.1484, -70.8251
1.0204, 15.7254, -25.8400, 173.0310, 242.0310, -6.7254, 282.9134, -21.6239, -51.1051, -70.8338
