# Joint_B_Angle(deg), Cam_X(mm), Cam_Y(mm), Cam_Z(mm), Torso_X(mm), Torso_Y(mm), Torso_Z(mm), EE_X(mm), EE_Y(mm), EE_Z(mm)
14.6747, -21.5729, 27.2917, 169.7776, 238.7776, 30.5729, 229.7818, 5.9778, -62.8679, -72.2634
14.8482, -21.6972, 27.4717, 169.8971, 238.8971, 30.6972, 229.6017, 6.0316, -62.8435, -72.2904
15.0315, -21.7929, 27.6393, 169.8525, 238.8525, 30.7929, 229.4342, 5.9991, -62.9661, -72.2841
15.2125, -21.9101, 27.8880, 170.0358, 239.0358, 30.9101, 229.1854, 6.1190, -62.8985, -72.2763
15.4037, -22.0152, 28.0599, 170.0265, 239.0265, 31.0152, 229.0135, 6.0964, -62.9934, -72.2791
15.5931, -22.1310, 28.2983, 170.1823, 239.1823, 31.1310, 228.7751, 6.1894, -62.9520, -72.2728
15.7478, -22.2625, 28.4954, 170.2287, 239.2287, 31.2625, 228.5780, 6.2574, -63.0046, -72.2907
15.9192, -22.3530, 28.6554, 170.2172, 239.2172, 31.3530, 228.4180, 6.2384, -63.0952, -72.2869
16.0827, -22.4664, 28.8547, 170.3498, 239.3498, 31.4664, 228.2187, 6.3188, -63.0656, -72.2960
16.2422, -22.5599, 29.0260, 170.3505, 239.3505, 31.5599, 228.0475, 6.3270, -63.1482, -72.2901
16.4057, -22.6787, 29.2285, 170.4016, 239.4016, 31.6787, 227.8449, 6.3849, -63.1986, -72.2948
16.5885, -22.7597, 29.3728, 170.5176, 239.5176, 31.7597, 227.7007, 6.3784, -63.1673, -72.3024
16.7739, -22.8711, 29.5710, 170.6823, 239.6823, 31.8711, 227.5024, 6.4444, -63.1129, -72.3133
16.9541, -22.9891, 29.7444, 170.6118, 239.6118, 31.9891, 227.3291, 6.4166, -63.2735, -72.3209
17.1360, -23.0969, 29.9825, 170.7529, 239.7529, 32.0969, 227.0910, 6.5094, -63.2521, -72.3065
17.2995, -23.1876, 30.1615, 170.8526, 239.8526, 32.1876, 226.9119, 6.5519, -63.2482, -72.3034
17.4788, -23.3378, 30.3693, 170.8704, 239.8704, 32.3378, 226.7042, 6.5975, -63.3459, -72.3293
17.6251, -23.4206, 30.5444, 170.9050, 239.9050, 32.4206, 226.5290, 6.6286, -63.3990, -72.3154
17.7820, -23.5354, 30.7391, 171.0373, 240.0373, 32.5354, 226.3344, 6.7135, -63.3770, -72.3282
17.9662, -23.6262, 30.8633, 171.1070, 240.1070, 32.6262, 226.2102, 6.6771, -63.3914, -72.3500
18.1547, -23.7201, 31.0485, 171.1420, 240.1420, 32.7202, 226.0250, 6.6743, -63.4566, -72.3406
18.3050, -23.8251, 31.2994, 171.3015, 240.3015, 32.8251, 225.7741, 6.8185, -63.4242, -72.3190
18.4702, -23.9249, 31.4529, 171.2401, 240.2401, 32.9249, 225.6205, 6.7817, -63.5698, -72.3217
18.6201, -24.0489, 31.6571, 171.3961, 240.3961, 33.0489, 225.4164, 6.8952, -63.5345, -72.3398
18.7862, -24.1429, 31.8033, 171.5376, 240.5376, 33.1429, 225.2701, 6.9250, -63.4908, -72.3597
18.9321, -24.2351, 31.9824, 171.5001, 240.5001, 33.2351, 225.0911, 6.9350, -63.6190, -72.3453
19.0912, -24.3070, 32.1293, 171.5712, 240.5712, 33.3070, 224.9441, 6.9366, -63.6348, -72.3396
19.2533, -24.4039, 32.2626, 171.5925, 240.5925, 33.4039, 224.8109, 6.9152, -63.6997, -72.3577
19.4234, -24.5039, 32.4790, 171.7401, 240.7401, 33.5039, 224.5945, 7.0028, -63.6758, -72.3481
19.5886, -24.5900, 32.6153, 171.6964, 240.6964, 33.5900, 224.4581, 6.9499, -63.7998, -72.3494
19.7530, -24.7301, 32.8267, 171.8009, 240.8009, 33.7301, 224.2467, 7.0400, -63.8257, -72.3728
19.9055, -24.8118, 33.0180, 171.9229, 240.9228, 33.8118, 224.0555, 7.1088, -63.8132, -72.3579
19.9854, -24.8995, 33.1402, 171.9608, 240.9608, 33.8995, 223.9332, 7.1715, -63.8496, -72.3751
19.9938, -24.9617, 33.2585, 172.0529, 241.0529, 33.9617, 223.8150, 7.3215, -63.8197, -72.3774
19.9956, -24.9628, 33.2598, 172.0465, 241.0465, 33.9628, 223.8137, 7.3185, -63.8264, -72.3771
