# Joint_A_Angle(deg), Cam_X(mm), Cam_Y(mm), Cam_Z(mm), Torso_X(mm), Torso_Y(mm), Torso_Z(mm), EE_X(mm), EE_Y(mm), EE_Z(mm)
-4.8992, -8.1356, 5.9853, 166.1917, 235.1917, 17.1356, 251.0881, 1.5092, -59.6916, -71.6095
-4.7171, -8.3376, 6.0643, 166.0253, 235.0253, 17.3376, 251.0091, 1.4936, -59.9290, -71.7115
-4.5494, -8.4612, 6.3411, 166.1613, 235.1613, 17.4612, 250.7323, 1.6181, -59.8446, -71.6733
-4.3646, -8.6148, 6.4916, 166.0379, 235.0379, 17.6148, 250.5818, 1.6348, -60.0346, -71.7009
-4.1814, -8.7915, 6.6645, 165.9878, 234.9878, 17.7915, 250.4089, 1.6825, -60.1523, -71.7435
-4.0096, -8.8634, 6.9036, 166.2800, 235.2800, 17.8634, 250.1699, 1.7436, -59.9152, -71.6927
-3.8454, -9.0484, 6.9746, 166.0040, 235.0040, 18.0484, 250.0989, 1.7283, -60.2583, -71.7762
-3.6802, -9.1388, 7.2507, 166.2945, 235.2945, 18.1388, 249.8227, 1.8391, -60.0219, -71.7233
-3.5235, -9.2997, 7.3470, 166.0413, 235.0413, 18.2997, 249.7265, 1.8394, -60.3379, -71.7760
-3.3658, -9.3737, 7.5837, 166.3240, 235.3240, 18.3737, 249.4897, 1.9171, -60.1088, -71.7291
-3.1900, -9.5236, 7.7001, 166.1513, 235.1513, 18.5236, 249.3733, 1.9081, -60.3509, -71.7670
-3.0045, -9.6448, 7.9352, 166.3400, 235.3400, 18.6448, 249.1382, 1.9798, -60.2308, -71.7507
-2.8206, -9.7744, 8.1177, 166.3561, 235.3561, 18.7744, 248.9557, 2.0103, -60.2855, -71.7534
-2.6271, -9.9793, 8.3041, 166.2753, 235.2753, 18.9793, 248.7693, 2.0702, -60.4472, -71.8094
-2.4572, -10.1122, 8.5345, 166.4204, 235.4204, 19.1122, 248.5390, 2.1606, -60.3691, -71.8035
-2.2777, -10.2348, 8.7092, 166.4156, 235.4156, 19.2348, 248.3642, 2.1847, -60.4452, -71.8026
-2.0990, -10.3674, 8.8764, 166.4540, 235.4540, 19.3674, 248.1970, 2.2091, -60.4799, -71.8180
-1.9279, -10.4990, 9.0652, 166.5370, 235.5370, 19.4990, 248.0082, 2.2610, -60.4677, -71.8263
-1.7690, -10.6264, 9.2274, 166.5675, 235.5675, 19.6264, 247.8461, 2.2991, -60.5041, -71.8411
-1.5759, -10.7448, 9.3795, 166.5633, 235.5633, 19.7448, 247.6939, 2.2866, -60.5876, -71.8466
-1.3753, -10.8888, 9.6505, 166.7531, 235.7531, 19.8888, 247.4229, 2.3892, -60.4824, -71.8309
-1.1971, -11.0261, 9.7810, 166.7244, 235.7244, 20.0261, 247.2924, 2.3822, -60.5885, -71.8629
-0.9958, -11.1856, 10.0786, 166.8688, 235.8688, 20.1856, 246.9948, 2.5139, -60.5326, -71.8430
-0.8132, -11.3228, 10.2924, 166.9403, 235.9403, 20.3228, 246.7810, 2.5788, -60.5420, -71.8414
-0.6242, -11.4643, 10.4243, 166.8493, 235.8493, 20.4643, 246.6492, 2.5598, -60.7168, -71.8696
-0.4456, -11.5906, 10.6612, 167.0454, 236.0454, 20.5906, 246.4122, 2.6500, -60.6015, -71.8587
-0.2685, -11.7357, 10.7614, 166.9450, 235.9450, 20.7357, 246.3120, 2.6167, -60.7829, -71.9062
-0.0855, -11.8685, 10.9814, 167.0323, 236.0323, 20.8685, 246.0921, 2.6851, -60.7799, -71.8992
0.1031, -12.0050, 11.1867, 167.1550, 236.1550, 21.0050, 245.8867, 2.7394, -60.7451, -71.9055
0.2848, -12.1499, 11.3297, 167.0632, 236.0632, 21.1499, 245.7438, 2.7370, -60.9220, -71.9314
0.4487, -12.2880, 11.5648, 167.2082, 236.2082, 21.2880, 245.5087, 2.8456, -60.8582, -71.9286
0.6273, -12.3836, 11.7557, 167.2805, 236.2805, 21.3836, 245.3177, 2.8746, -60.8676, -71.9033
0.7921, -12.5290, 11.9496, 167.3104, 236.3104, 21.5290, 245.1238, 2.9423, -60.9207, -71.9169
0.9648, -12.6799, 12.1466, 167.3227, 236.3227, 21.6799, 244.9269, 3.0056, -60.9957, -71.9312
1.1342, -12.7900, 12.3158, 167.4277, 236.4277, 21.7900, 244.7576, 3.0356, -60.9728, -71.9333
1.3047, -12.9311, 12.4870, 167.3604, 236.3604, 21.9311, 244.5864, 3.0670, -61.1259, -71.9448
1.4684, -13.0163, 12.6245, 167.5462, 236.5462, 22.0163, 244.4490, 3.0705, -61.0181, -71.9499
1.6422, -13.1303, 12.7985, 167.6163, 236.6163, 22.1303, 244.2750, 3.0993, -61.0342, -71.9493
1.8154, -13.2800, 13.0129, 167.7329, 236.7329, 22.2800, 244.0605, 3.1860, -61.0107, -71.9635
1.9698, -13.4077, 13.1698, 167.6647, 236.6647, 22.4077, 243.9037, 3.2141, -61.1592, -71.9721
2.1489, -13.5283, 13.3730, 167.8457, 236.8458, 22.5283, 243.7005, 3.2769, -61.0718, -71.9726
2.3335, -13.6138, 13.5018, 167.8342, 236.8342, 22.6138, 243.5716, 3.2332, -61.1702, -71.9615
2.5126, -13.8058, 13.7132, 167.7995, 236.7995, 22.8058, 243.3602, 3.3163, -61.3081, -71.9985
2.6732, -13.8998, 13.9601, 168.0182, 237.0182, 22.8998, 243.1134, 3.4285, -61.1774, -71.9597
2.8771, -14.0473, 14.0432, 167.9832, 236.9832, 23.0473, 243.0302, 3.3520, -61.3148, -72.0205
3.0702, -14.1940, 14.3310, 168.1378, 237.1378, 23.1940, 242.7425, 3.4845, -61.2715, -71.9970
3.2493, -14.3355, 14.5190, 168.2113, 237.2113, 23.3355, 242.5545, 3.5343, -61.2982, -72.0128
3.4317, -14.4576, 14.6473, 168.2339, 237.2339, 23.4576, 242.4262, 3.5133, -61.3712, -72.0368
3.6218, -14.5828, 14.8594, 168.3644, 237.3644, 23.5828, 242.2140, 3.5712, -61.3465, -72.0309
3.7885, -14.7529, 15.1013, 168.4054, 237.4054, 23.7529, 241.9722, 3.6906, -61.4108, -72.0423
3.9683, -14.8397, 15.2317, 168.4650, 237.4650, 23.8397, 241.8417, 3.6614, -61.4432, -72.0387
4.1590, -14.9806, 15.4319, 168.5061, 237.5061, 23.9806, 241.6416, 3.7046, -61.5116, -72.0436
4.3159, -15.1463, 15.7166, 168.6817, 237.6817, 24.1463, 241.3568, 3.8873, -61.4448, -72.0438
4.4982, -15.2104, 15.7777, 168.7686, 237.7686, 24.2104, 241.2958, 3.7886, -61.4449, -72.0582
4.6815, -15.3652, 16.0607, 168.8318, 237.8318, 24.3652, 241.0128, 3.9211, -61.4997, -72.0362
4.8595, -15.4799, 16.1785, 168.8656, 237.8656, 24.4799, 240.8949, 3.8931, -61.5636, -72.0606
5.0181, -15.6226, 16.3778, 168.9119, 237.9119, 24.6226, 240.6956, 3.9712, -61.6189, -72.0711
5.2029, -15.7451, 16.5744, 169.0238, 238.0238, 24.7451, 240.4991, 4.0191, -61.6177, -72.0696
5.4075, -15.8587, 16.6948, 169.0345, 238.0345, 24.8587, 240.3786, 3.9608, -61.7165, -72.0867
5.5956, -16.0220, 16.9732, 169.1945, 238.1945, 25.0220, 240.1002, 4.1031, -61.6848, -72.0835
5.7781, -16.1697, 17.1457, 169.2107, 238.2107, 25.1697, 239.9277, 4.1293, -61.7816, -72.1064
5.9526, -16.2766, 17.3492, 169.3970, 238.3970, 25.2766, 239.7243, 4.1993, -61.7049, -72.0966
6.1488, -16.4220, 17.5068, 169.3225, 238.3225, 25.4220, 239.5666, 4.1824, -61.8958, -72.1145
6.3191, -16.5392, 17.7821, 169.6132, 238.6132, 25.5392, 239.2914, 4.3415, -61.7259, -72.0884
6.5263, -16.6354, 17.8987, 169.6513, 238.6513, 25.6354, 239.1748, 4.2723, -61.7999, -72.0950
6.7131, -16.8061, 18.1052, 169.6528, 238.6528, 25.8061, 238.9683, 4.3318, -61.9244, -72.1185
6.9240, -16.9582, 18.3484, 169.8197, 238.8197, 25.9582, 238.7251, 4.4163, -61.8986, -72.1219
7.1020, -17.0945, 18.5511, 169.9429, 238.9429, 26.0945, 238.5223, 4.4873, -61.8963, -72.1311
7.2850, -17.2281, 18.7418, 170.0002, 239.0002, 26.2281, 238.3317, 4.5286, -61.9596, -72.1368
7.4597, -17.3605, 18.9390, 170.0163, 239.0163, 26.3605, 238.1344, 4.5759, -62.0612, -72.1347
7.6412, -17.4621, 19.0898, 170.1301, 239.1301, 26.4621, 237.9837, 4.5795, -62.0600, -72.1391
7.8086, -17.6148, 19.2756, 170.1603, 239.1603, 26.6148, 237.7979, 4.6369, -62.1490, -72.1624
7.9818, -17.7400, 19.5145, 170.3277, 239.3277, 26.7400, 237.5589, 4.7479, -62.1087, -72.1489
8.1409, -17.8349, 19.6561, 170.4051, 239.4051, 26.8349, 237.4173, 4.7577, -62.1337, -72.1507
